Genenames	KeggTerms
Cluster-2917.163837	ko04024
Cluster-2917.119462	ko04024
Cluster-2917.154667	ko04024
Cluster-94089.0	ko04024
Cluster-2917.59836	ko04024
Cluster-2917.134362	ko04024
Cluster-51424.1	ko04024
Cluster-2917.116716	ko04024
Cluster-2917.66505	ko04024
Cluster-2917.161062	ko04024
Cluster-2917.116033	ko04024
Cluster-58457.0	ko04024
Cluster-2917.102645	ko04024
Cluster-2917.660	ko04024
Cluster-2917.103439	ko04024
Cluster-2917.116748	ko04024
Cluster-2917.655	ko04024
Cluster-2917.106547	ko04024
Cluster-2917.58672	ko04024
Cluster-2917.43484	ko04024
Cluster-2917.116679	ko04024
Cluster-17946.0	ko04024
Cluster-2917.59714	ko04024
Cluster-2917.144478	ko04024
Cluster-77417.0	ko04024
Cluster-2917.169448	ko04024
Cluster-691.0	ko04024
Cluster-2917.105309	ko04024
Cluster-691.0	ko04022
Cluster-2917.105309	ko04022
Cluster-2917.169448	ko04022
Cluster-2917.1645	ko04022
Cluster-77417.0	ko04022
Cluster-2917.144478	ko04022
Cluster-359.0	ko04022
Cluster-2917.59714	ko04022
Cluster-58471.0	ko04022
Cluster-17946.0	ko04022
Cluster-2917.154667	ko04022
Cluster-2917.163837	ko04022
Cluster-2917.106547	ko04022
Cluster-2917.655	ko04022
Cluster-2917.100021	ko04022
Cluster-2917.147438	ko04022
Cluster-2917.116748	ko04022
Cluster-2917.660	ko04022
Cluster-2917.106150	ko04022
Cluster-66135.0	ko04022
Cluster-2917.102131	ko04022
Cluster-2917.86390	ko04022
Cluster-2917.101496	ko04022
Cluster-2917.161062	ko04022
Cluster-2917.105524	ko04022
Cluster-2917.116716	ko04022
Cluster-2917.134362	ko04022
Cluster-51424.1	ko04022
Cluster-2917.124458	ko04150
Cluster-2917.59714	ko04150
Cluster-2917.38309	ko04150
Cluster-2917.114929	ko04150
Cluster-2917.161946	ko04150
Cluster-63042.0	ko04150
Cluster-51424.1	ko04150
Cluster-2917.114930	ko04150
Cluster-97603.1	ko04514
Cluster-2917.114789	ko04514
Cluster-2917.7244	ko04514
Cluster-68264.0	ko04514
Cluster-2917.8370	ko04514
Cluster-2917.50556	ko04514
Cluster-2917.54236	ko04514
Cluster-2917.50557	ko04514
Cluster-66756.0	ko04060
Cluster-2917.114799	ko04060
Cluster-1193.0	ko04060
Cluster-1259.0	ko04060
Cluster-14810.0	ko04060
Cluster-2917.128787	ko04060
Cluster-2917.2882	ko04512
Cluster-2917.93211	ko04512
Cluster-2917.114789	ko04512
Cluster-2917.161139	ko04512
Cluster-2917.14060	ko04080
Cluster-2917.141898	ko04080
Cluster-67335.0	ko04080
Cluster-2917.49503	ko04080
Cluster-2917.24422	ko04080
Cluster-54154.0	ko04080
Cluster-2917.154667	ko04080
Cluster-2917.49504	ko04080
Cluster-2917.116716	ko04080
Cluster-2917.137072	ko03050
Cluster-2917.82978	ko03050
Cluster-73964.0	ko03050
Cluster-2917.94187	ko03050
Cluster-2917.103373	ko03050
Cluster-2917.112792	ko03060
Cluster-17719.0	ko03060
Cluster-2917.112803	ko03060
Cluster-2917.3391	ko03060
Cluster-2917.113077	ko03060
Cluster-81985.0	ko03060
Cluster-2917.118392	ko03060
Cluster-68956.0	ko03060
Cluster-2917.112805	ko03060
Cluster-2917.75402	ko04141
